service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20230724,20231112
2,0,0,0,0,0,1,0,20230724,20231112
3,0,0,0,0,0,0,1,20230724,20231112
6,1,1,1,1,1,0,0,20230724,20231112
7,0,0,0,0,0,1,0,20230724,20231112
8,0,0,0,0,0,0,1,20230724,20231112
11,1,1,1,1,1,0,0,20230724,20231112
12,0,0,0,0,0,1,0,20230724,20231112
13,0,0,0,0,0,0,1,20230724,20231112
101,1,1,1,1,0,0,1,20230724,20231112
201,0,0,0,0,1,1,0,20230724,20231112
501,1,1,1,0,1,0,0,20230724,20231112
601,0,0,0,1,0,0,0,20230724,20231112
